t,asset0,house0,asset1,house1
1,.0141219,0,.0141219,0
2,.050161,.073405,2.406798,.931858
3,.0885343,.212876,2.018905,1.1461
4,.1443228,.374293,2.947078,1.10268
5,.1869229,.59008,3.860019,1.72491
6,.3153686,.616054,4.12291,1.84709
7,.3976256,.567947,4.34397,1.97248
8,.5375925,.608676,4.35879,2.09236
9,.6960602,.66483,4.571446,2.39713
10,.7147558,.828419,5.823689,3.00402
11,.723654,.587816,6.363094,4.23295
12,.6541117,.50942,6.652312,5.0924
13,.6508396,.380122,6.902586,5.35255
14,.3247429,.33717,7.15588,4.81399
